Matric Number,Gender,Current academic level,Preferred living environment,Organize personal space frequency,Productive environment,Atmosphere created,Invite friends frequency,Comfortable with roommate bringing guests,Sleep lights preference,Fan speed preference,Preferred study time,Okay with roommate studying late night
22AB030267,Male,400,Very organized,Weekly,Balanced,Energetic,Rarely,Sometimes,Must be OFF,Very high,Evening,It depends
2502530,Female,100,Flexible/ not particular,Daily,Balanced,Energetic,Often,Sometimes,Always ON,High,Late night,Yes
23CM034275,Male,300,Very organized,Occasionally,Lively with some quiet moments,Energetic,Never,Sometimes,Always ON,Very high,Evening,It depends
23CF030503,Male,300,Generally tidy,Weekly,Lively with some quiet moments,Very calm,Very often,No,Must be OFF,Low,Morning,Yes
23CF031505,Male,300,Flexible/ not particular,Weekly,Lively with some quiet moments,Energetic,Never,No,Always ON,High,Afternoon,Yes
2502621,Male,100,Flexible/ not particular,Never,Balanced,Very calm,Often,No,Sometimes ON,Medium,Morning,Yes
2501904,Male,100,Very organized,A few times a week,Balanced,Energetic,Very often,No,Sometimes ON,Low,Afternoon,No
22AM033421,Male,400,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Energetic,Never,Sometimes,Always ON,Medium,Afternoon,No
22CA035633,Female,400,Comfortable with a bit of clutter,A few times a week,Quiet with occasional activity,Calm,Very often,No,Sometimes ON,Very high,Morning,No
23AM029020,Male,300,Flexible/ not particular,Never,Quiet with occasional activity,Energetic,Never,Sometimes,Prefer OFF,Medium,Morning,Yes
22CM034883,Female,400,Generally tidy,Never,Balanced,Calm,Never,Yes,Sometimes ON,High,Morning,No
2502219,Female,100,Generally tidy,Occasionally,Balanced,Calm,Rarely,No,Prefer OFF,High,Late night,No
21DC037569,Female,500,Very organized,Occasionally,Quiet with occasional activity,Very calm,Rarely,No,Prefer OFF,Very high,Morning,It depends
23CF028320,Male,300,Flexible/ not particular,Occasionally,Quiet with occasional activity,Energetic,Never,Sometimes,Must be OFF,High,Afternoon,It depends
2502894,Female,100,Very organized,A few times a week,Quiet with occasional activity,Very calm,Occasionally,No,Always ON,Low,Morning,It depends
2501363,Female,100,Comfortable with a bit of clutter,A few times a week,Lively with some quiet moments,Calm,Occasionally,Sometimes,Sometimes ON,Low,Evening,It depends
2502933,Male,100,Very organized,Never,Balanced,Energetic,Very often,Yes,Prefer OFF,Medium,Morning,Yes
23CG033763,Male,300,Comfortable with a bit of clutter,Daily,Quiet with occasional activity,Very calm,Often,Sometimes,Must be OFF,Very high,Afternoon,Yes
24CD034389,Female,200,Flexible/ not particular,Weekly,Balanced,Energetic,Very often,Yes,Prefer OFF,Medium,Morning,No
21DB034865,Female,500,Flexible/ not particular,Weekly,Quiet with occasional activity,Energetic,Rarely,Yes,Prefer OFF,High,Morning,Yes
22CA036947,Female,400,Generally tidy,Weekly,Quiet with occasional activity,Very calm,Rarely,Sometimes,Always ON,Low,Morning,No
22DA037883,Male,400,Very organized,Never,Lively with some quiet moments,Very calm,Often,No,Must be OFF,High,Evening,Yes
21DC031613,Male,500,Flexible/ not particular,Daily,Quiet with occasional activity,Very calm,Occasionally,Sometimes,Always ON,Low,Morning,It depends
2502030,Female,100,Comfortable with a bit of clutter,Occasionally,Balanced,Very calm,Rarely,No,Always ON,Low,Afternoon,It depends
2501360,Male,100,Generally tidy,Weekly,Lively with some quiet moments,Energetic,Never,No,Must be OFF,Medium,Morning,No
21CD035140,Male,500,Very organized,Daily,Balanced,Very calm,Very often,No,Must be OFF,Very high,Late night,No
23BD028475,Female,300,Very organized,Weekly,Quiet with occasional activity,Energetic,Never,No,Prefer OFF,Low,Evening,Yes
2501075,Female,100,Very organized,A few times a week,Lively with some quiet moments,Calm,Never,Yes,Always ON,High,Evening,No
23BM038958,Female,300,Flexible/ not particular,Never,Balanced,Energetic,Very often,No,Always ON,Very high,Evening,It depends
23CE034624,Male,300,Very organized,Weekly,Balanced,Very calm,Occasionally,Sometimes,Sometimes ON,Medium,Evening,Yes
24CF030704,Female,200,Flexible/ not particular,Never,Balanced,Energetic,Very often,Sometimes,Prefer OFF,Very high,Afternoon,Yes
24DB035657,Male,200,Flexible/ not particular,Weekly,Lively with some quiet moments,Calm,Rarely,Sometimes,Prefer OFF,Very high,Afternoon,Yes
23DC030091,Male,300,Very organized,Never,Quiet with occasional activity,Energetic,Often,Sometimes,Prefer OFF,Medium,Morning,No
21CB036751,Female,500,Flexible/ not particular,Weekly,Lively with some quiet moments,Calm,Rarely,Yes,Sometimes ON,Very high,Evening,Yes
23CG034455,Male,300,Flexible/ not particular,Daily,Balanced,Very calm,Occasionally,Sometimes,Sometimes ON,High,Evening,No
23CB037246,Female,300,Generally tidy,Daily,Quiet with occasional activity,Energetic,Often,Sometimes,Prefer OFF,Medium,Afternoon,Yes
23CE028444,Male,300,Flexible/ not particular,Daily,Balanced,Energetic,Never,Sometimes,Always ON,Low,Afternoon,It depends
22AB038530,Female,400,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Very often,Sometimes,Sometimes ON,Low,Morning,It depends
2501224,Male,100,Very organized,Weekly,Lively with some quiet moments,Energetic,Rarely,Yes,Sometimes ON,Low,Evening,It depends
23AA035564,Male,300,Generally tidy,Never,Quiet with occasional activity,Energetic,Occasionally,No,Sometimes ON,Medium,Evening,No
23AA028823,Female,300,Very organized,Daily,Lively with some quiet moments,Very calm,Rarely,No,Sometimes ON,Medium,Morning,Yes
22CD034211,Male,400,Comfortable with a bit of clutter,Never,Balanced,Very calm,Often,Sometimes,Always ON,High,Evening,Yes
2501047,Male,100,Comfortable with a bit of clutter,Weekly,Lively with some quiet moments,Energetic,Very often,Sometimes,Must be OFF,Low,Late night,No
22CM035449,Male,400,Flexible/ not particular,Daily,Quiet with occasional activity,Calm,Often,Yes,Sometimes ON,Low,Afternoon,It depends
2501350,Female,100,Generally tidy,Weekly,Lively with some quiet moments,Energetic,Very often,Sometimes,Prefer OFF,Medium,Afternoon,No
22BM034211,Male,400,Flexible/ not particular,Never,Lively with some quiet moments,Very calm,Often,No,Must be OFF,Low,Afternoon,No
23CD034906,Female,300,Comfortable with a bit of clutter,Daily,Balanced,Energetic,Occasionally,Sometimes,Always ON,Very high,Afternoon,No
23CD029341,Female,300,Comfortable with a bit of clutter,Daily,Quiet with occasional activity,Energetic,Very often,Sometimes,Sometimes ON,High,Morning,It depends
23BD028317,Female,300,Generally tidy,Occasionally,Balanced,Energetic,Often,Yes,Always ON,Very high,Late night,No
2501970,Male,100,Very organized,Daily,Lively with some quiet moments,Very calm,Rarely,Sometimes,Sometimes ON,High,Evening,Yes
21CG033733,Male,500,Comfortable with a bit of clutter,Weekly,Balanced,Calm,Often,No,Sometimes ON,Medium,Evening,It depends
22CM038651,Female,400,Flexible/ not particular,Daily,Quiet with occasional activity,Calm,Often,Sometimes,Must be OFF,Low,Afternoon,Yes
23AB038678,Male,300,Comfortable with a bit of clutter,Weekly,Lively with some quiet moments,Very calm,Rarely,Sometimes,Prefer OFF,Very high,Evening,No
24CG028508,Female,200,Very organized,Never,Balanced,Calm,Rarely,No,Sometimes ON,Medium,Evening,No
23CM031266,Female,300,Flexible/ not particular,A few times a week,Quiet with occasional activity,Calm,Often,No,Must be OFF,Low,Afternoon,Yes
23DB028333,Male,300,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Rarely,Sometimes,Must be OFF,Low,Evening,No
22CB030496,Male,400,Generally tidy,Never,Quiet with occasional activity,Calm,Rarely,No,Always ON,Very high,Morning,Yes
23CM030068,Male,300,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Occasionally,Sometimes,Must be OFF,Very high,Evening,It depends
22CD032134,Female,400,Flexible/ not particular,Occasionally,Lively with some quiet moments,Energetic,Never,Yes,Sometimes ON,Low,Afternoon,Yes
21BD038968,Female,500,Generally tidy,Daily,Balanced,Calm,Never,Yes,Must be OFF,High,Morning,It depends
21AB037240,Male,500,Comfortable with a bit of clutter,Never,Balanced,Very calm,Occasionally,Yes,Must be OFF,Medium,Late night,Yes
24CM035619,Male,200,Comfortable with a bit of clutter,Occasionally,Balanced,Energetic,Often,No,Prefer OFF,Very high,Morning,No
23CF032198,Female,300,Comfortable with a bit of clutter,Daily,Lively with some quiet moments,Energetic,Rarely,Sometimes,Always ON,High,Late night,No
23DA034043,Female,300,Flexible/ not particular,A few times a week,Quiet with occasional activity,Calm,Often,No,Must be OFF,High,Morning,Yes
23AA037926,Male,300,Generally tidy,Weekly,Lively with some quiet moments,Very calm,Often,No,Prefer OFF,Very high,Afternoon,No
2502400,Female,100,Very organized,Daily,Lively with some quiet moments,Calm,Very often,Yes,Always ON,Very high,Evening,It depends
22CF039769,Male,400,Very organized,Occasionally,Balanced,Very calm,Occasionally,Sometimes,Must be OFF,High,Morning,It depends
2502678,Female,100,Very organized,Weekly,Balanced,Very calm,Often,Yes,Prefer OFF,Medium,Morning,No
2501858,Female,100,Generally tidy,Occasionally,Lively with some quiet moments,Very calm,Occasionally,Sometimes,Prefer OFF,High,Morning,No
